=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0
=> learning rate 0.01, lr thetas 0.0, 100 epochs, decay frequency 30
Epoch: [1][400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.33 (5.56)	Acc@1 10.5 (9.2)	Acc@5 25.4 (20.5)	
Epoch: [1][600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.56 (5.55)	Acc@1 11.3 (9.3)	Acc@5 23.0 (20.6)	
Epoch: [1][800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.73 (5.55)	Acc@1 7.0 (9.3)	Acc@5 18.4 (20.6)	
Epoch: [1][1000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.62 (5.55)	Acc@1 5.5 (9.3)	Acc@5 18.0 (20.7)	
Epoch: [1][1200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.80 (5.54)	Acc@1 8.2 (9.3)	Acc@5 19.9 (20.7)	
Epoch: [1][1400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.39 (5.54)	Acc@1 10.5 (9.4)	Acc@5 22.3 (20.8)	
Epoch: [1][1600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.35 (5.54)	Acc@1 11.3 (9.4)	Acc@5 22.7 (20.8)	
Epoch: [1][1800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.63 (5.54)	Acc@1 7.0 (9.4)	Acc@5 17.2 (20.9)	
Epoch: [1][2000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.54)	Acc@1 9.4 (9.4)	Acc@5 18.8 (20.9)	
Epoch: [1][2200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.65 (5.53)	Acc@1 9.0 (9.4)	Acc@5 17.6 (21.0)	
Epoch: [1][2400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.64 (5.53)	Acc@1 9.0 (9.5)	Acc@5 19.5 (21.0)	
Epoch: [1][2600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.55 (5.53)	Acc@1 8.2 (9.5)	Acc@5 20.7 (21.0)	
Epoch: [1][2800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.71 (5.53)	Acc@1 10.5 (9.5)	Acc@5 19.5 (21.1)	
Epoch: [1][3000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.41 (5.52)	Acc@1 10.5 (9.5)	Acc@5 20.7 (21.1)	
Epoch: [1][3200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.49 (5.52)	Acc@1 11.3 (9.6)	Acc@5 23.0 (21.2)	
Epoch: [1][3400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.52)	Acc@1 9.4 (9.6)	Acc@5 24.6 (21.2)	
Epoch: [1][3600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.37 (5.52)	Acc@1 12.1 (9.6)	Acc@5 23.8 (21.3)	
Epoch: [1][3800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.51 (5.52)	Acc@1 10.9 (9.6)	Acc@5 22.3 (21.3)	
Epoch: [1][4000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.43 (5.51)	Acc@1 10.5 (9.7)	Acc@5 22.3 (21.3)	
Epoch: [1][4200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.15 (5.51)	Acc@1 10.2 (9.7)	Acc@5 23.0 (21.4)	
Epoch: [1][4400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.29 (5.51)	Acc@1 12.1 (9.7)	Acc@5 25.0 (21.4)	
Epoch: [1][4600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.34 (5.51)	Acc@1 10.9 (9.7)	Acc@5 24.2 (21.4)	
Epoch: [1][4800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.61 (5.51)	Acc@1 9.4 (9.7)	Acc@5 18.8 (21.5)	
Epoch: [1][5000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.64 (5.50)	Acc@1 10.2 (9.8)	Acc@5 21.1 (21.5)	
Validation Epoch: [1][0/196]	Time 4.9 (4.9)	Data 0.0 (0.0)	preproc. 0.0(0.0)	Tot. Loss 3.84 (3.84)	Acc@1 26.2 (26.2)	Acc@5 63.3 (63.3)	
Validation Epoch 1, * Acc@1 14.04 Acc@5 28.82
Epoch: [2][0/5005]	Time 5.3 (5.3)	Data 3.8 (3.8)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.45)	Acc@1 13.3 (13.3)	Acc@5 22.3 (22.3)	
Epoch: [2][200/5005]	Time 1.6 (1.7)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.25 (5.43)	Acc@1 12.1 (10.5)	Acc@5 30.1 (22.9)	
Epoch: [2][400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.61 (5.43)	Acc@1 6.2 (10.5)	Acc@5 20.3 (22.7)	
Epoch: [2][600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.35 (5.43)	Acc@1 13.7 (10.5)	Acc@5 24.6 (22.7)	
Epoch: [2][800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.43)	Acc@1 10.2 (10.5)	Acc@5 24.2 (22.7)	
Epoch: [2][1000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.46 (5.43)	Acc@1 9.8 (10.5)	Acc@5 23.4 (22.7)	
Epoch: [2][1200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.36 (5.43)	Acc@1 10.5 (10.5)	Acc@5 22.3 (22.7)	
Epoch: [2][1400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.52 (5.43)	Acc@1 9.0 (10.5)	Acc@5 19.9 (22.8)	
Epoch: [2][1600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.43)	Acc@1 9.4 (10.5)	Acc@5 28.9 (22.8)	
Epoch: [2][1800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.80 (5.43)	Acc@1 6.6 (10.5)	Acc@5 19.5 (22.8)	
Epoch: [2][2000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.42 (5.43)	Acc@1 11.7 (10.5)	Acc@5 23.8 (22.8)	
Epoch: [2][2200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.29 (5.43)	Acc@1 13.7 (10.5)	Acc@5 29.3 (22.8)	
Epoch: [2][2400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.37 (5.43)	Acc@1 10.5 (10.5)	Acc@5 27.0 (22.8)	
Epoch: [2][2600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.33 (5.43)	Acc@1 10.9 (10.6)	Acc@5 23.0 (22.8)	
Epoch: [2][2800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.71 (5.43)	Acc@1 7.8 (10.6)	Acc@5 16.0 (22.9)	
Epoch: [2][3000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.33 (5.43)	Acc@1 10.9 (10.6)	Acc@5 25.4 (22.9)	
Epoch: [2][3200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.41 (5.43)	Acc@1 8.2 (10.6)	Acc@5 20.7 (22.9)	
Epoch: [2][3400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.43)	Acc@1 9.0 (10.6)	Acc@5 25.0 (22.9)	
Epoch: [2][3600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.34 (5.43)	Acc@1 10.9 (10.6)	Acc@5 26.2 (22.9)	
Epoch: [2][3800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.33 (5.43)	Acc@1 10.9 (10.6)	Acc@5 23.0 (22.9)	
Epoch: [2][4000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.37 (5.43)	Acc@1 12.5 (10.6)	Acc@5 27.0 (22.9)	
Epoch: [2][4200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.42)	Acc@1 12.5 (10.7)	Acc@5 25.0 (22.9)	
Epoch: [2][4400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.53 (5.42)	Acc@1 11.3 (10.7)	Acc@5 22.7 (23.0)	
Epoch: [2][4600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.49 (5.42)	Acc@1 8.2 (10.7)	Acc@5 22.3 (23.0)	
