=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0 fft False
=> learning rate 0.01, lr thetas 0.0, 50 epochs, decay frequency 15
Epoch: [1][400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.10 (5.09)	Acc@1 12.1 (13.9)	Acc@5 26.6 (28.4)	
Epoch: [1][600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.04 (5.08)	Acc@1 15.2 (14.0)	Acc@5 30.9 (28.6)	
Epoch: [1][800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.97 (5.08)	Acc@1 16.0 (14.1)	Acc@5 30.9 (28.6)	
Epoch: [1][1000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.08 (5.07)	Acc@1 13.3 (14.2)	Acc@5 30.1 (28.8)	
Epoch: [1][1200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.21 (5.07)	Acc@1 11.3 (14.2)	Acc@5 27.3 (28.8)	
Epoch: [1][1400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.99 (5.07)	Acc@1 14.8 (14.3)	Acc@5 33.2 (28.9)	
Epoch: [1][1600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.92 (5.07)	Acc@1 14.8 (14.3)	Acc@5 31.2 (29.0)	
Epoch: [1][1800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.29 (5.06)	Acc@1 12.5 (14.4)	Acc@5 26.2 (29.1)	
Epoch: [1][2000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.95 (5.06)	Acc@1 18.0 (14.4)	Acc@5 27.3 (29.1)	
Epoch: [1][2200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.98 (5.05)	Acc@1 14.1 (14.5)	Acc@5 27.7 (29.2)	
Epoch: [1][2400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.93 (5.05)	Acc@1 16.8 (14.5)	Acc@5 29.7 (29.3)	
Epoch: [1][2600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.97 (5.05)	Acc@1 15.2 (14.5)	Acc@5 31.6 (29.3)	
Epoch: [1][2800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.97 (5.05)	Acc@1 16.4 (14.6)	Acc@5 31.2 (29.4)	
